latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.01,-86.113,302.5,4.7,2,2019-10-01,0300,Terra,MODIS,49,6.0NRT,292.1,39.1,N
33.011,-79.885,319.8,2,1.4,2019-10-01,0300,Terra,MODIS,99,6.0NRT,290.9,46.1,N
41.464,-81.681,302.6,1.6,1.3,2019-10-01,0300,Terra,MODIS,50,6.0NRT,292.5,8,N
32.156,-101.937,301.3,1.4,1.2,2019-10-01,0435,Terra,MODIS,40,6.0NRT,290.3,5.8,N
31.937,-103.538,301.1,1.8,1.3,2019-10-01,0435,Terra,MODIS,38,6.0NRT,288.8,9.1,N
31.932,-103.543,301.7,1.8,1.3,2019-10-01,0435,Terra,MODIS,44,6.0NRT,288.8,10.5,N
33.739,-98.909,305.4,1,1,2019-10-01,0435,Terra,MODIS,60,6.0NRT,294.3,4.7,N
31.852,-101.805,302.8,1.4,1.2,2019-10-01,0435,Terra,MODIS,52,6.0NRT,291,6,N
31.348,-96.168,307,1,1,2019-10-01,0435,Terra,MODIS,65,6.0NRT,296,5.7,N
32.13,-93.393,310.8,1.3,1.1,2019-10-01,0435,Terra,MODIS,81,6.0NRT,295.7,13.3,N
32.129,-93.407,308.3,1.3,1.1,2019-10-01,0435,Terra,MODIS,74,6.0NRT,295.2,10.6,N
31.98,-102.63,318.9,1.6,1.2,2019-10-01,0435,Terra,MODIS,98,6.0NRT,290.7,31,N
38.622,-88.237,308.5,3.3,1.7,2019-10-01,0440,Terra,MODIS,75,6.0NRT,292,48.1,N
38.437,-106.004,300.2,1.8,1.3,2019-10-01,0440,Terra,MODIS,13,6.0NRT,282.3,14.8,N
46.246,-121.341,310.5,1.4,1.2,2019-10-01,0620,Terra,MODIS,80,6.0NRT,270,23.2,N
41.455,-81.675,302.2,1.3,1.1,2019-10-01,0715,Aqua,MODIS,47,6.0NRT,291.7,6,N
41.127,-85.342,302.2,2,1.4,2019-10-01,0715,Aqua,MODIS,47,6.0NRT,289.7,15.1,N
34.666,-80.587,301.8,1,1,2019-10-01,0715,Aqua,MODIS,44,6.0NRT,291.6,4.4,N
41.465,-81.673,303.2,1.3,1.1,2019-10-01,0715,Aqua,MODIS,54,6.0NRT,292,6.8,N
34.008,-86.101,308.4,1.8,1.3,2019-10-01,0715,Aqua,MODIS,74,6.0NRT,292.3,19.9,N
33.016,-79.887,302.1,1,1,2019-10-01,0715,Aqua,MODIS,46,6.0NRT,291.9,3.4,N
33.015,-79.877,302.1,1,1,2019-10-01,0715,Aqua,MODIS,47,6.0NRT,291.8,3.5,N
38.418,-106.011,309.9,1.1,1.1,2019-10-01,0850,Aqua,MODIS,78,6.0NRT,279.1,15.6,N
38.413,-106.006,306.7,1.1,1.1,2019-10-01,0850,Aqua,MODIS,69,6.0NRT,279.5,13.9,N
31.988,-102.628,318,1.1,1.1,2019-10-01,0855,Aqua,MODIS,96,6.0NRT,289.6,18.7,N
33.421,-110.855,308.4,1.8,1.3,2019-10-01,0855,Aqua,MODIS,74,6.0NRT,287.7,24.5,N
41.938,-80.432,310.4,1.3,1.1,2019-10-01,1635,Terra,MODIS,63,6.0NRT,295.9,7.9,D
35.676,-84.418,318.4,1.1,1.1,2019-10-01,1640,Terra,MODIS,59,6.0NRT,301.6,6.9,D
34.853,-80.295,318.7,1.9,1.4,2019-10-01,1640,Terra,MODIS,73,6.0NRT,289.8,31.4,D
34.846,-80.319,312,1.9,1.4,2019-10-01,1640,Terra,MODIS,31,6.0NRT,290.2,16.6,D
36.15,-87.936,315.1,1,1,2019-10-01,1640,Terra,MODIS,0,6.0NRT,301,6.1,D
36.335,-89.425,333.5,1.1,1.1,2019-10-01,1640,Terra,MODIS,84,6.0NRT,304.8,27.7,D
36.333,-89.413,326.1,1.1,1.1,2019-10-01,1640,Terra,MODIS,74,6.0NRT,303.5,16,D
