,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1763044,1763045,300106000.0,SFO-2014TXLFDX538725,2014,2014-07-02,183,5,Debris Burning,1.0,B,29.4821843,-95.28870400000001,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1756167,1756168,300098000.0,SFO-2014NYNYSNYS-2014-0040,2014,2014-04-18,108,5,Debris Burning,1.5,B,42.2616,-77.9638,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1780419,1780420,300135000.0,SFO-2014MSMFC35055,2014,2014-08-26,238,9,Miscellaneous,7.0,B,30.73262981,-88.54592021,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1744172,1744173,300084000.0,SFO-2014TXLFDX531058,2014,2014-06-20,171,2,Equipment Use,20.0,C,28.335813,-98.022079,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1754149,1754150,300096000.0,SFO-2014NCNCSNCST-034-20140043,2014,2014-03-27,86,5,Debris Burning,2.0,B,36.20191472,-80.19480888,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1739188,1739189,300077000.0,SFO-2014NY4040NY4040-2014-36,2014,2014-05-12,132,1,Lightning,0.1,A,42.0402,-75.5158,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1759011,1759012,300102000.0,SFO-2014SCSCS15FF0084,2014,2014-08-27,239,5,Debris Burning,5.5,B,34.033885999999995,-80.22052,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1746858,1746859,300087000.0,SFO-2014MSMFC34672,2014,2014-05-06,126,4,Campfire,5.0,B,31.09875103,-88.53691146,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1754304,1754305,300096000.0,SFO-2014MSMFC10581,2014,2014-03-31,90,5,Debris Burning,1.0,B,32.77937906,-88.57197993,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1735462,1735463,300026000.0,W-670215,2014,2014-07-25,206,9,Miscellaneous,0.1,A,43.2928,-100.6133,SD,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1772179,1772180,300118000.0,SFO-2014VAVAS BUH14025,2014,2014-04-24,114,7,Arson,579.0,E,37.32284167,-81.97774722,VA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1769294,1769295,300114000.0,SFO-2014PAPAS11(14)1-032,2014,2014-04-12,102,7,Arson,2.0,B,41.5075,-75.87111,PA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1738097,1738098,300075000.0,SFO-2014FLFLS2014180200,2014,2014-07-20,201,1,Lightning,160.0,D,26.1602,-80.4615,FL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1761777,1761778,300105000.0,SFO-2014LADAF 97606,2014,2014-10-19,292,5,Debris Burning,0.25,A,30.544,-93.24600000000001,LA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1781004,1781005,300136000.0,SFO-2014NY3605NY3605-2014-357,2014,2014-09-12,255,9,Miscellaneous,0.1,A,41.4884,-74.41199999999999,NY,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1878879,1878880,300340000.0,2014CAIRS24418814,2014,2014-03-07,66,11,Powerline,0.3,B,34.566666,-118.88333300000001,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1756778,1756779,300099000.0,SFO-2014NCNCSNCST-020-20140042,2014,2014-04-26,116,5,Debris Burning,0.5,B,34.9944,-84.06383333,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1753633,1753634,300095000.0,SFO-2014PAPAS18(14)1-011,2014,2014-03-23,82,5,Debris Burning,1.5,B,40.8875,-76.435,PA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1754269,1754270,300096000.0,SFO-2014AR-ARSIZA21621325,2014,2014-03-30,89,5,Debris Burning,12.0,C,36.17091,-91.92264,AR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1782686,1782687,300139000.0,SFO-2014ALAFC53338,2014,2014-12-15,349,9,Miscellaneous,2.0,B,31.145473,-85.544499,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1749076,1749077,300090000.0,SFO-2014TNTNS14-W0007,2014,2014-01-22,22,5,Debris Burning,1.0,B,36.318333,-88.751933,TN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1754818,1754819,300097000.0,SFO-2014NMNMSF14-20190311X,2014,2014-03-28,87,5,Debris Burning,207.0,D,34.5373,-106.7796,NM,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1771776,1771777,300117000.0,SFO-2014ALAFC53177,2014,2014-12-03,337,7,Arson,3.0,B,30.801009999999998,-88.413723,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1774214,1774215,300121000.0,SFO-2014ALAFC50274,2014,2014-01-27,27,9,Miscellaneous,13.0,C,33.912663,-87.120769,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1770488,1770489,300116000.0,SFO-2014CACDFCZU003641,2014,2014-06-11,162,7,Arson,1.0,B,36.8955,-121.798833,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1740790,1740791,300079000.0,SFO-2014TXLFDX538070,2014,2014-09-01,244,11,Powerline,0.25,A,32.2391753,-95.19684000000001,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1786147,1786148,300145000.0,SFO-2014TXLFDX524231,2014,2014-08-24,236,9,Miscellaneous,1.0,B,32.6515954,-94.9170184,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1763635,1763636,300107000.0,SFO-2014TXLFDX546227,2014,2014-08-11,223,5,Debris Burning,1.0,B,33.523293,-97.25986,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1781574,1781575,300137000.0,SFO-2014NJDEPA102801,2014,2014-10-28,301,9,Miscellaneous,0.25,A,41.0889,-74.6089,NJ,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1755458,1755459,300098000.0,SFO-2014GAGAS-FY2014-Fannin-043,2014,2014-04-10,100,5,Debris Burning,4.48,B,34.89025,-84.30566667,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1735010,1735011,300025000.0,W-669851,2014,2014-07-13,194,1,Lightning,50900.0,G,44.99286,-121.25165,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1787455,1787456,300148000.0,SFO-2014CACDFRRU061735,2014,2014-06-13,164,13,Missing/Undefined,0.1,A,33.642016999999996,-116.198617,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1778829,1778830,300132000.0,SFO-2014CACDFCZU003754,2014,2014-06-15,166,9,Miscellaneous,0.1,A,37.1354,-121.97643300000001,CA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1753385,1753386,300095000.0,SFO-2014MSMFC10436,2014,2014-03-21,80,5,Debris Burning,38.0,C,34.43661071,-89.25845598,MS,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1769021,1769022,300114000.0,SFO-2014NCNCSNCST-071-20140020,2014,2014-04-02,92,7,Arson,1.0,B,34.51853333,-78.1093,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1772430,1772431,300118000.0,SFO-2014VAVAS STA14001,2014,2014-11-04,308,7,Arson,14.0,C,38.38770833,-77.53984444,VA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1738980,1738981,300077000.0,SFO-2014ORODF20149521512015,2014,2014-09-01,244,1,Lightning,0.5,B,44.54833,-118.785,OR,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1739371,1739372,300077000.0,SFO-2014TXLFDX548658,2014,2014-08-16,228,1,Lightning,1.0,B,30.3392386,-103.95331390000001,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1775363,1775364,300124000.0,SFO-2014NCNCSNCST-003-20140007,2014,2014-03-15,74,9,Miscellaneous,0.2,A,36.41718333,-81.25795,NC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1740042,1740043,300078000.0,SFO-2014MIDNR-2014360005,2014,2014-06-01,152,11,Powerline,0.1,A,46.201244,-88.38972,MI,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1745523,1745524,300085000.0,SFO-2014TXLFDX500445,2014,2014-02-15,46,3,Smoking,0.5,B,28.301370000000002,-97.80664399999999,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1750649,1750650,300092000.0,SFO-2014GAGAS-FY2014-Worth-007,2014,2014-02-20,51,5,Debris Burning,136.16,D,31.54222222,-83.89533333,GA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1772566,1772567,300118000.0,SFO-2014ALAFC50249,2014,2014-01-26,26,8,Children,5.0,B,32.752137,-85.37883000000001,AL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1783595,1783596,300140000.0,SFO-2014TXLFDX518237,2014,2014-06-14,165,9,Miscellaneous,1.0,B,33.986302,-98.13943,TX,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1745222,1745223,300085000.0,SFO-2014MO-MOS107202,2014,2014-07-02,183,3,Smoking,1.0,B,38.0413,-90.5673,MO,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
